pick,observed_trade_value
1,3000
2,2863.3
3,2700.2
4,2536.2
5,2386.7
6,2255.6
7,2141.5
8,2041.9
9,1954
10,1875.2
11,1803.6
12,1737.7
13,1676.1
14,1618.1
15,1563
16,1510.3
17,1459.6
18,1410.9
19,1363.8
20,1318.3
21,1274.4
22,1231.9
23,1190.8
24,1151.2
25,1113
26,1076.1
27,1040.6
28,1006.4
29,973.6
30,942
31,911.7
32,882.7
33,854.8
34,828.1
35,802.5
36,778
37,754.6
38,732.2
39,710.7
40,690.2
41,670.5
42,651.7
43,633.8
44,616.5
45,600
46,584.2
47,569.1
48,554.6
49,540.7
50,527.3
51,514.4
52,502.1
53,490.2
54,478.8
55,467.7
56,457.1
57,446.9
58,437
59,427.4
60,418.1
61,409.1
62,400.4
63,392
64,383.8
65,375.8
66,368
67,360.5
68,353.1
69,346
70,339
71,332.2
72,325.5
73,319
74,312.6
75,306.3
76,300.2
77,294.2
78,288.4
79,282.6
80,276.9
81,271.4
82,265.9
83,260.6
84,255.4
85,250.2
86,245.1
87,240.1
88,235.2
89,230.4
90,225.7
91,221
92,216.5
93,212
94,207.5
95,203.2
96,198.9
97,194.7
98,190.5
99,186.5
100,182.5
101,178.5
102,174.7
103,170.9
104,167.1
105,163.4
106,159.8
107,156.3
108,152.8
109,149.4
110,146
111,142.7
112,139.5
113,136.3
114,133.2
115,130.1
116,127.1
117,124.2
118,121.3
119,118.5
120,115.7
121,113
122,110.3
123,107.7
124,105.2
125,102.7
126,100.2
127,97.8
128,95.5
129,93.2
130,90.9
131,88.7
132,86.6
133,84.5
134,82.4
135,80.4
136,78.5
137,76.6
138,74.7
139,72.9
140,71.1
141,69.3
142,67.6
143,66
144,64.4
145,62.8
146,61.2
147,59.7
148,58.3
149,56.9
150,55.5
151,54.1
152,52.8
153,51.5
154,50.3
155,49
156,47.8
157,46.7
158,45.6
159,44.5
160,43.4
161,42.4
162,41.4
163,40.4
164,39.4
165,38.5
166,37.6
167,36.7
168,35.9
169,35
170,34.2
171,33.4
172,32.7
173,31.9
174,31.2
175,30.5
176,29.8
177,29.2
178,28.5
179,27.9
180,27.3
181,26.7
182,26.1
183,25.6
184,25
185,24.5
186,24
187,23.5
188,23
189,22.6
190,22.1
191,21.7
192,21.2
193,20.8
194,20.4
195,20
196,19.6
197,19.2
198,18.9
199,18.5
200,18.2
201,17.8
202,17.5
203,17.2
204,16.8
205,16.5
206,16.2
207,15.9
208,15.6
209,15.4
210,15.1
211,14.8
212,14.6
213,14.3
214,14
215,13.8
216,13.6
217,13.3
218,13.1
219,12.9
220,12.6
221,12.4
222,12.2
223,12
224,11.8
225,11.6
226,11.3
227,11.1
228,10.9
229,10.7
230,10.5
231,10.4
232,10.2
233,10
234,9.8
235,9.6
236,9.4
237,9.2
238,9.1
239,8.9
240,8.7
241,8.5
242,8.4
243,8.2
244,8
245,7.8
246,7.7
247,7.5
248,7.3
249,7.2
250,7
251,6.8
252,6.7
253,6.5
254,6.3
255,6.2
256,6
257,5.9
258,5.7
259,5.5
260,5.4
261,5.2
262,5.1
