season,team,gsis_id,pff_id,pfr_id,fbdb_id,full_name,first_name,last_name,position_nfl_team,position_pff,height,weight,college,birth_date,draft_yr,draft_type,draft_rnd,draft_pick,draft_team,week1_age
2021,SF,00-0036551,59983,BankAa00,aaron-banks-banksaa01,Aaron Banks,Aaron,Banks,OL,G,77,325,Notre Dame,1997-09-03,2021,Standard,2,48,SF,24.0246406570842
2014,CLE,00-0027338,5871,BerrAa00,aaron-berry-berryaa01,Aaron Berry,Aaron,Berry,DB,CB,69,190,Pittsburgh,1988-06-25,2010,Undrafted,NA,NA,DET,26.2012320328542
2021,ARI,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,232,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,31.1895961670089
2020,ARI,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,232,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,30.1930184804928
2019,ARI,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,232,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,29.1772758384668
2018,ARI,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,232,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,28.1806981519507
2017,ARI,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,232,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,27.1841204654346
2016,CHI,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,230,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,26.1875427789185
2015,DEN,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,230,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,25.1909650924025
2014,DEN,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,230,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,24.1752224503765
2013,DEN,00-0028946,7301,BrewAa00,aaron-brewer-breweaa01,Aaron Brewer,Aaron,Brewer,LS,LS,77,230,San Diego State,1990-07-05,2012,Undrafted,NA,NA,DEN,23.1786447638604
2021,TEN,00-0036171,46014,BrewAa01,aaron-brewer-breweaa02,Aaron Brewer,Aaron,Brewer,OL,G,73,274,Texas State,1997-10-28,2020,Undrafted,NA,NA,TEN,23.8740588637919
2020,TEN,00-0036171,46014,BrewAa01,aaron-brewer-breweaa02,Aaron Brewer,Aaron,Brewer,C,G,75,270,Texas State,1997-10-28,2020,Undrafted,NA,NA,TEN,22.8774811772758
2016,SF,00-0032441,10847,BurbAa00,aaron-burbridge-burbraa01,Aaron Burbridge,Aaron,Burbridge,WR,WR,72,208,Michigan State,1993-12-23,2016,Standard,6,213,SF,22.7186858316222
2019,HOU,00-0031259,8749,ColvAa00,aaron-colvin-colviaa01,Aaron Colvin,Aaron,Colvin,CB,CB,72,191,Oklahoma,1991-10-02,2014,Standard,4,114,JAX,27.9342915811088
