"week","team","gsis_id","weekly_status","current_status","full_name","position","game_id","former_team","years_with_team","last_with_team"
1,"ATL","00-0030387","on_depth_chart","on_depth_chart","Steven Means","LB","2021_01_PHI_ATL","PHI",3,2017
1,"ATL","00-0030706","missing","on_depth_chart","Josh Andrews","C","2021_01_PHI_ATL","PHI",2,2016
1,"BAL","00-0030513","missing","on_depth_chart","Latavius Murray","RB","2021_01_BAL_LV","LV",3,2016
1,"BAL","00-0031346","missing","on_depth_chart","Justin Ellis","DT","2021_01_BAL_LV","LV",5,2018
1,"BAL","00-0031690","on_depth_chart","on_depth_chart","Eric Tomlinson","TE","2021_01_BAL_LV","LV",1,2019
1,"BUF","00-0027685","on_depth_chart","on_depth_chart","Emmanuel Sanders","WR","2021_01_PIT_BUF","PIT",4,2013
1,"BUF","00-0032366","on_depth_chart","on_depth_chart","Tyler Matakevich","LB","2021_01_PIT_BUF","PIT",4,2019
1,"CAR","00-0029061","on_depth_chart","on_depth_chart","Julian Stanford","LB","2021_01_NYJ_CAR","NYJ",2,2017
1,"CAR","00-0032403","on_depth_chart","missing","Juston Burris","DB","2021_01_NYJ_CAR","NYJ",3,2018
1,"CAR","00-0032688","on_depth_chart","on_depth_chart","Robby Anderson","WR","2021_01_NYJ_CAR","NYJ",4,2019
1,"CAR","00-0033909","on_depth_chart","missing","Pat Elflein","G","2021_01_NYJ_CAR","NYJ",1,2020
1,"CAR","00-0034302","on_depth_chart","on_depth_chart","Frankie Luvu","LB","2021_01_NYJ_CAR","NYJ",3,2020
1,"CAR","00-0034869","on_depth_chart","on_depth_chart","Sam Darnold","QB","2021_01_NYJ_CAR","NYJ",3,2020
1,"CHI","00-0027952","on_depth_chart","missing","Robert Quinn","LB","2021_01_CHI_LA","LA",7,2017
1,"CHI","00-0029567","missing","on_depth_chart","Nick Foles","QB","2021_01_CHI_LA","LA",1,2015
1,"CHI","00-0030527","on_depth_chart","on_depth_chart","Alec Ogletree","LB","2021_01_CHI_LA","LA",5,2017
1,"CHI","00-0031203","on_depth_chart","on_depth_chart","Cairo Santos","K","2021_01_CHI_LA","LA",1,2018
1,"CHI","00-0032786","on_depth_chart","on_depth_chart","Marqui Christian","DB","2021_01_CHI_LA","LA",4,2019
1,"CHI","00-0035621","on_depth_chart","missing","Nsimba Webster","WR","2021_01_CHI_LA","LA",6,2020
1,"CIN","00-0029672","on_depth_chart","on_depth_chart","Riley Reiff","T","2021_01_MIN_CIN","MIN",4,2020
1,"CIN","00-0031546","on_depth_chart","missing","Trae Waynes","CB","2021_01_MIN_CIN","MIN",5,2019
1,"CLE","00-0033923","on_depth_chart","missing","Kareem Hunt","RB","2021_01_CLE_KC","KC",2,2018
1,"DAL","00-0029692","on_depth_chart","on_depth_chart","Bryan Anger","P","2021_01_DAL_TB","TB",6,2018
1,"DEN","00-0031067","on_depth_chart","on_depth_chart","Cameron Fleming","T","2021_01_DEN_NYG","NYG",1,2020
1,"DET","00-0034614","on_depth_chart","on_depth_chart","Godwin Igwebuike","RB","2021_01_SF_DET","SF",1,2018
1,"HOU","00-0032128","on_depth_chart","on_depth_chart","Chris Conley","WR","2021_01_JAX_HOU","JAX",2,2020
1,"IND","00-0031581","on_depth_chart","on_depth_chart","Mark Glowinski","G","2021_01_SEA_IND","SEA",3,2017
1,"IND","00-0031589","missing","on_depth_chart","Brett Hundley","QB","2021_01_SEA_IND","SEA",1,2018
1,"IND","00-0032443","on_depth_chart","missing","Joey Hunt","C","2021_01_SEA_IND","SEA",4,2019
1,"IND","00-0036226","on_depth_chart","missing","Jacob Eason","QB","2021_01_SEA_IND","SEA",1,2021
1,"JAX","00-0031045","on_depth_chart","on_depth_chart","Carlos Hyde","RB","2021_01_JAX_HOU","HOU",1,2019
1,"KC","00-0029664","missing","on_depth_chart","Josh Gordon","WR","2021_01_CLE_KC","CLE",5,2018
1,"LA","00-0033072","on_depth_chart","on_depth_chart","Leonard Floyd","LB","2021_01_CHI_LA","CHI",4,2019
1,"LV","00-0030663","on_depth_chart","on_depth_chart","Willie Snead","WR","2021_01_BAL_LV","BAL",3,2020
1,"LV","00-0031610","on_depth_chart","missing","Darren Waller","TE","2021_01_BAL_LV","BAL",2,2016
1,"LV","00-0033123","on_depth_chart","on_depth_chart","Yannick Ngakoue","DE","2021_01_BAL_LV","BAL",1,2020
1,"LV","00-0033290","on_depth_chart","on_depth_chart","Jermaine Eluemunor","OL","2021_01_BAL_LV","BAL",2,2018
1,"MIA","00-0027136","on_depth_chart","on_depth_chart","Jason McCourty","DB","2021_01_MIA_NE","NE",3,2020
1,"MIA","00-0031555","on_depth_chart","on_depth_chart","Eric Rowe","DB","2021_01_MIA_NE","NE",3,2018
1,"MIA","00-0031796","on_depth_chart","on_depth_chart","Justin Coleman","CB","2021_01_MIA_NE","NE",2,2016
