"rank","team","outlet","week","prior_rank","rank_chng"
1,"TB","BR",1,NA,NA
2,"KC","BR",1,NA,NA
3,"GB","BR",1,NA,NA
4,"CLE","BR",1,NA,NA
5,"BUF","BR",1,NA,NA
6,"LA","BR",1,NA,NA
7,"BAL","BR",1,NA,NA
8,"SEA","BR",1,NA,NA
9,"TEN","BR",1,NA,NA
10,"SF","BR",1,NA,NA
11,"NE","BR",1,NA,NA
12,"WAS","BR",1,NA,NA
13,"ARI","BR",1,NA,NA
14,"MIA","BR",1,NA,NA
15,"LAC","BR",1,NA,NA
16,"PIT","BR",1,NA,NA
17,"DAL","BR",1,NA,NA
18,"NO","BR",1,NA,NA
19,"IND","BR",1,NA,NA
20,"CHI","BR",1,NA,NA
21,"DEN","BR",1,NA,NA
22,"MIN","BR",1,NA,NA
23,"LV","BR",1,NA,NA
24,"NYG","BR",1,NA,NA
25,"CIN","BR",1,NA,NA
26,"CAR","BR",1,NA,NA
27,"PHI","BR",1,NA,NA
28,"ATL","BR",1,NA,NA
29,"NYJ","BR",1,NA,NA
30,"JAX","BR",1,NA,NA
31,"DET","BR",1,NA,NA
32,"HOU","BR",1,NA,NA
1,"TB","CBS",1,NA,NA
2,"BUF","CBS",1,NA,NA
3,"KC","CBS",1,NA,NA
4,"GB","CBS",1,NA,NA
5,"CLE","CBS",1,NA,NA
6,"SF","CBS",1,NA,NA
7,"BAL","CBS",1,NA,NA
8,"LA","CBS",1,NA,NA
9,"ARI","CBS",1,NA,NA
10,"TEN","CBS",1,NA,NA
11,"NE","CBS",1,NA,NA
12,"IND","CBS",1,NA,NA
13,"WAS","CBS",1,NA,NA
14,"DAL","CBS",1,NA,NA
15,"MIA","CBS",1,NA,NA
16,"MIN","CBS",1,NA,NA
17,"DEN","CBS",1,NA,NA
18,"SEA","CBS",1,NA,NA
19,"NO","CBS",1,NA,NA
20,"LAC","CBS",1,NA,NA
21,"PIT","CBS",1,NA,NA
22,"ATL","CBS",1,NA,NA
23,"CHI","CBS",1,NA,NA
24,"NYG","CBS",1,NA,NA
25,"LV","CBS",1,NA,NA
26,"PHI","CBS",1,NA,NA
27,"JAX","CBS",1,NA,NA
28,"CAR","CBS",1,NA,NA
29,"CIN","CBS",1,NA,NA
30,"DET","CBS",1,NA,NA
31,"NYJ","CBS",1,NA,NA
32,"HOU","CBS",1,NA,NA
1,"KC","ESPN",1,NA,NA
2,"TB","ESPN",1,NA,NA
3,"BUF","ESPN",1,NA,NA
4,"GB","ESPN",1,NA,NA
5,"LA","ESPN",1,NA,NA
6,"BAL","ESPN",1,NA,NA
7,"CLE","ESPN",1,NA,NA
8,"SEA","ESPN",1,NA,NA
9,"TEN","ESPN",1,NA,NA
10,"SF","ESPN",1,NA,NA
11,"PIT","ESPN",1,NA,NA
12,"DAL","ESPN",1,NA,NA
13,"ARI","ESPN",1,NA,NA
14,"IND","ESPN",1,NA,NA
15,"LAC","ESPN",1,NA,NA
16,"MIA","ESPN",1,NA,NA
17,"NE","ESPN",1,NA,NA
18,"MIN","ESPN",1,NA,NA
19,"NO","ESPN",1,NA,NA
20,"WAS","ESPN",1,NA,NA
21,"LV","ESPN",1,NA,NA
22,"CHI","ESPN",1,NA,NA
23,"ATL","ESPN",1,NA,NA
24,"NYG","ESPN",1,NA,NA
25,"CAR","ESPN",1,NA,NA
26,"DEN","ESPN",1,NA,NA
27,"PHI","ESPN",1,NA,NA
28,"CIN","ESPN",1,NA,NA
29,"JAX","ESPN",1,NA,NA
30,"NYJ","ESPN",1,NA,NA
31,"DET","ESPN",1,NA,NA
32,"HOU","ESPN",1,NA,NA
1,"TB","NFL",1,NA,NA
2,"KC","NFL",1,NA,NA
3,"BUF","NFL",1,NA,NA
4,"GB","NFL",1,NA,NA
5,"BAL","NFL",1,NA,NA
6,"LA","NFL",1,NA,NA
7,"SEA","NFL",1,NA,NA
8,"CLE","NFL",1,NA,NA
9,"SF","NFL",1,NA,NA
10,"PIT","NFL",1,NA,NA
11,"TEN","NFL",1,NA,NA
12,"LAC","NFL",1,NA,NA
13,"NE","NFL",1,NA,NA
14,"MIA","NFL",1,NA,NA
15,"NO","NFL",1,NA,NA
16,"IND","NFL",1,NA,NA
17,"MIN","NFL",1,NA,NA
18,"ARI","NFL",1,NA,NA
19,"DAL","NFL",1,NA,NA
20,"WAS","NFL",1,NA,NA
21,"CHI","NFL",1,NA,NA
22,"DEN","NFL",1,NA,NA
23,"LV","NFL",1,NA,NA
24,"NYG","NFL",1,NA,NA
25,"PHI","NFL",1,NA,NA
26,"ATL","NFL",1,NA,NA
27,"CAR","NFL",1,NA,NA
28,"NYJ","NFL",1,NA,NA
29,"JAX","NFL",1,NA,NA
30,"CIN","NFL",1,NA,NA
31,"DET","NFL",1,NA,NA
32,"HOU","NFL",1,NA,NA
1,"TB","PFT",1,NA,NA
2,"KC","PFT",1,NA,NA
3,"BUF","PFT",1,NA,NA
4,"GB","PFT",1,NA,NA
5,"LA","PFT",1,NA,NA
6,"CLE","PFT",1,NA,NA
7,"BAL","PFT",1,NA,NA
8,"LAC","PFT",1,NA,NA
9,"NO","PFT",1,NA,NA
10,"NE","PFT",1,NA,NA
11,"SF","PFT",1,NA,NA
12,"SEA","PFT",1,NA,NA
13,"TEN","PFT",1,NA,NA
14,"PIT","PFT",1,NA,NA
15,"WAS","PFT",1,NA,NA
16,"MIA","PFT",1,NA,NA
17,"DAL","PFT",1,NA,NA
18,"MIN","PFT",1,NA,NA
19,"IND","PFT",1,NA,NA
20,"CHI","PFT",1,NA,NA
21,"LV","PFT",1,NA,NA
22,"NYG","PFT",1,NA,NA
23,"DEN","PFT",1,NA,NA
24,"CAR","PFT",1,NA,NA
