season,team,defense_type
1999,ARI,43
1999,ATL,43
1999,BAL,43
1999,BUF,34
1999,CAR,43
1999,CHI,43
1999,CIN,34
1999,CLE,43
1999,DAL,43
1999,DEN,43
1999,DET,43
1999,GB,43
1999,IND,43
1999,JAX,43
1999,KC,43
1999,LA,43
1999,LAC,43
1999,LV,43
1999,MIA,43
1999,MIN,43
1999,NE,43
1999,NO,43
1999,NYG,43
1999,NYJ,34
1999,PHI,43
1999,PIT,34
1999,SEA,43
1999,SF,43
1999,TB,43
1999,TEN,43
1999,WAS,43
2000,ARI,43
2000,ATL,43
2000,BAL,43
2000,BUF,34
2000,CAR,43
2000,CHI,43
2000,CIN,43
2000,CLE,43
2000,DAL,43
2000,DEN,43
2000,DET,43
2000,GB,43
2000,IND,43
2000,JAX,43
2000,KC,43
2000,LA,43
2000,LAC,43
2000,LV,43
2000,MIA,43
2000,MIN,43
2000,NE,34
2000,NO,43
2000,NYG,43
2000,NYJ,34
2000,PHI,43
2000,PIT,34
2000,SEA,43
2000,SF,43
2000,TB,43
2000,TEN,43
2000,WAS,43
2001,ARI,43
2001,ATL,43
2001,BAL,43
2001,BUF,43
2001,CAR,43
2001,CHI,43
2001,CIN,43
2001,CLE,43
2001,DAL,43
2001,DEN,43
2001,DET,43
2001,GB,43
2001,IND,43
2001,JAX,43
2001,KC,43
2001,LA,43
2001,LAC,43
2001,LV,43
2001,MIA,43
2001,MIN,43
2001,NE,43
2001,NO,43
2001,NYG,43
2001,NYJ,43
2001,PHI,43
2001,PIT,34
2001,SEA,43
2001,SF,43
2001,TB,43
2001,TEN,43
2001,WAS,43
2002,ARI,43
2002,ATL,34
2002,BAL,34
2002,BUF,43
2002,CAR,43
2002,CHI,43
2002,CIN,43
2002,CLE,43
2002,DAL,43
2002,DEN,43
2002,DET,43
2002,GB,43
2002,HOU,34
2002,IND,43
2002,JAX,43
2002,KC,43
2002,LA,43
2002,LAC,43
2002,LV,43
2002,MIA,43
2002,MIN,43
2002,NE,43
2002,NO,43
2002,NYG,43
2002,NYJ,43
2002,PHI,43
2002,PIT,34
2002,SEA,43
2002,SF,43
2002,TB,43
2002,TEN,43
2002,WAS,43
2003,ARI,43
2003,ATL,34
2003,BAL,34
2003,BUF,43
2003,CAR,43
2003,CHI,43
2003,CIN,43
2003,CLE,43
2003,DAL,43
2003,DEN,43
2003,DET,43
2003,GB,43
2003,HOU,34
2003,IND,43
2003,JAX,43
2003,KC,43
2003,LA,43
2003,LAC,43
2003,LV,43
2003,MIA,43
2003,MIN,43
2003,NE,43
2003,NO,43
2003,NYG,43
2003,NYJ,43
2003,PHI,43
2003,PIT,34
2003,SEA,43
2003,SF,43
2003,TB,43
2003,TEN,43
2003,WAS,43
2004,ARI,43
2004,ATL,43
2004,BAL,34
2004,BUF,43
2004,CAR,43
2004,CHI,43
2004,CIN,43
2004,CLE,43
2004,DAL,43
2004,DEN,43
2004,DET,43
2004,GB,43
2004,HOU,34
2004,IND,43
2004,JAX,43
2004,KC,43
2004,LA,43
2004,LAC,34
2004,LV,43
2004,MIA,43
2004,MIN,43
2004,NE,34
2004,NO,43
2004,NYG,43
2004,NYJ,43
2004,PHI,43
2004,PIT,34
2004,SEA,43
2004,SF,43
2004,TB,43
2004,TEN,43
2004,WAS,43
2005,ARI,43
2005,ATL,43
2005,BAL,43
2005,BUF,43
2005,CAR,43
2005,CHI,43
2005,CIN,43
2005,CLE,34
2005,DAL,34
2005,DEN,43
2005,DET,43
2005,GB,43
2005,HOU,34
2005,IND,43
2005,JAX,43
2005,KC,43
2005,LA,43
2005,LAC,34
2005,LV,34
2005,MIA,43
2005,MIN,43
2005,NE,34
2005,NO,43
2005,NYG,43
2005,NYJ,43
2005,PHI,43
2005,PIT,34
2005,SEA,43
2005,SF,34
2005,TB,43
2005,TEN,43
2005,WAS,43
2006,ARI,43
2006,ATL,43
2006,BAL,43
2006,BUF,43
2006,CAR,43
2006,CHI,43
2006,CIN,43
2006,CLE,34
2006,DAL,34
2006,DEN,43
2006,DET,43
2006,GB,43
2006,HOU,43
2006,IND,43
2006,JAX,43
2006,KC,43
2006,LA,43
2006,LAC,34
2006,LV,43
2006,MIA,43
2006,MIN,43
2006,NE,34
2006,NO,43
2006,NYG,43
2006,NYJ,43
2006,PHI,43
2006,PIT,34
2006,SEA,43
2006,SF,43
2006,TB,43
2006,TEN,43
2006,WAS,43
2007,ARI,43
2007,ATL,43
2007,BAL,34
2007,BUF,43
2007,CAR,43
2007,CHI,43
2007,CIN,43
2007,CLE,34
2007,DAL,34
2007,DEN,43
2007,DET,43
2007,GB,43
2007,HOU,43
2007,IND,43
2007,JAX,43
2007,KC,43
2007,LA,43
2007,LAC,34
2007,LV,43
2007,MIA,43
2007,MIN,43
2007,NE,34
2007,NO,43
2007,NYG,43
2007,NYJ,34
2007,PHI,43
2007,PIT,34
2007,SEA,43
2007,SF,34
2007,TB,43
2007,TEN,43
2007,WAS,43
2008,ARI,43
2008,ATL,43
2008,BAL,34
2008,BUF,43
2008,CAR,43
2008,CHI,43
2008,CIN,43
2008,CLE,34
2008,DAL,34
2008,DEN,43
2008,DET,43
2008,GB,43
2008,HOU,43
2008,IND,43
2008,JAX,43
2008,KC,43
2008,LA,43
2008,LAC,34
2008,LV,43
2008,MIA,34
2008,MIN,43
2008,NE,34
2008,NO,43
2008,NYG,43
2008,NYJ,34
2008,PHI,43
2008,PIT,34
2008,SEA,43
2008,SF,34
2008,TB,43
2008,TEN,43
2008,WAS,43
2009,ARI,34
2009,ATL,43
2009,BAL,34
2009,BUF,43
2009,CAR,43
2009,CHI,43
2009,CIN,43
2009,CLE,34
2009,DAL,34
2009,DEN,34
2009,DET,43
2009,GB,34
2009,HOU,43
2009,IND,43
2009,JAX,43
2009,KC,34
2009,LA,43
2009,LAC,34
2009,LV,43
2009,MIA,34
2009,MIN,43
2009,NE,34
2009,NO,43
2009,NYG,43
2009,NYJ,34
2009,PHI,43
2009,PIT,34
2009,SEA,43
2009,SF,34
2009,TB,43
2009,TEN,43
2009,WAS,43
2010,ARI,34
2010,ATL,43
2010,BAL,34
2010,BUF,34
2010,CAR,43
2010,CHI,43
2010,CIN,43
2010,CLE,34
2010,DAL,34
2010,DEN,34
2010,DET,43
2010,GB,34
2010,HOU,43
2010,IND,43
2010,JAX,43
2010,KC,34
2010,LA,43
2010,LAC,34
2010,LV,43
2010,MIA,34
2010,MIN,43
2010,NE,34
2010,NO,43
2010,NYG,43
2010,NYJ,34
2010,PHI,43
2010,PIT,34
2010,SEA,43
2010,SF,34
2010,TB,43
2010,TEN,43
2010,WAS,34
2011,ARI,34
2011,ATL,43
2011,BAL,34
2011,BUF,43
2011,CAR,43
2011,CHI,43
2011,CIN,43
2011,CLE,43
2011,DAL,34
2011,DEN,43
2011,DET,43
2011,GB,34
2011,HOU,34
2011,IND,43
2011,JAX,43
2011,KC,34
2011,LA,43
2011,LAC,34
2011,LV,43
2011,MIA,34
2011,MIN,43
2011,NE,43
2011,NO,43
2011,NYG,43
2011,NYJ,34
2011,PHI,43
2011,PIT,34
2011,SEA,43
2011,SF,34
2011,TB,43
2011,TEN,43
2011,WAS,34
2012,ARI,34
2012,ATL,43
2012,BAL,34
2012,BUF,43
2012,CAR,43
2012,CHI,43
2012,CIN,43
2012,CLE,43
2012,DAL,34
2012,DEN,43
2012,DET,43
2012,GB,34
2012,HOU,34
2012,IND,34
2012,JAX,43
2012,KC,34
2012,LA,43
2012,LAC,34
2012,LV,43
2012,MIA,43
2012,MIN,43
2012,NE,43
2012,NO,43
2012,NYG,43
2012,NYJ,34
2012,PHI,43
2012,PIT,34
2012,SEA,43
2012,SF,34
2012,TB,43
2012,TEN,43
2012,WAS,34
2013,ARI,34
2013,ATL,43
2013,BAL,34
2013,BUF,34
2013,CAR,43
2013,CHI,43
2013,CIN,43
2013,CLE,34
2013,DAL,43
2013,DEN,43
2013,DET,43
2013,GB,34
2013,HOU,34
2013,IND,34
2013,JAX,43
2013,KC,34
2013,LA,43
2013,LAC,34
2013,LV,43
2013,MIA,43
2013,MIN,43
2013,NE,43
2013,NO,34
2013,NYG,43
2013,NYJ,34
2013,PHI,34
2013,PIT,34
2013,SEA,43
2013,SF,34
2013,TB,43
2013,TEN,43
2013,WAS,34
2014,ARI,34
2014,ATL,34
2014,BAL,34
2014,BUF,43
2014,CAR,43
2014,CHI,43
2014,CIN,43
2014,CLE,34
2014,DAL,43
2014,DEN,43
2014,DET,43
2014,GB,34
2014,HOU,34
2014,IND,34
2014,JAX,43
2014,KC,34
2014,LA,43
2014,LAC,34
2014,LV,43
2014,MIA,43
2014,MIN,43
2014,NE,43
2014,NO,34
2014,NYG,43
2014,NYJ,34
2014,PHI,34
2014,PIT,34
2014,SEA,43
