game_id,team,uni_id,backbone,belly_button,back_shoulder_blade,belt,pants,number,helmet,socks
2020_01_HOU_KC,HOU,2020_HOU_C.png,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#b1242d,#03182e,#02172e
2020_01_HOU_KC,KC,2020_KC_D.png,#c80417,#c80416,#c80417,#ffffff,#fefefe,#fefefe,#c80417,#c70416
2020_01_CHI_DET,CHI,2020_CHI_C.png,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#fefefe,#03182e,#ffffff
2020_01_CLE_BAL,CLE,2020_CLE_E.png,#3c2c24,#3b2c23,#3c2d24,#ffffff,#fefefe,#fefefe,#e7450f,#3b2c24
2020_01_GB_MIN,GB,2020_GB_A.png,#fefefe,#ffffff,#ffffff,#fbbf0d,#fbbf11,#004000,#fbbf11,#004000
2020_01_IND_JAX,IND,2020_IND_D.png,#12356b,#11356a,#12356a,#ffffff,#fefefe,#fefefe,#ffffff,#12356a
2020_01_LV_CAR,LV,2020_LV_D.png,#121212,#111111,#121212,#949494,#d1d7de,#c3c7ca,#bdc5d0,#000000
2020_01_MIA_NE,MIA,2020_MIA_C2.png,#fefefe,#ffffff,#ffffff,#008c97,#008d97,#008c96,#ffffff,#008c96
2020_01_NYJ_BUF,NYJ,2020_NYJ_C.png,#25623e,#25623d,#25633e,#ffffff,#fefefe,#eaeaea,#024f22,#005021
2020_01_PHI_WAS,PHI,2020_PHI_B.png,#fefefe,#ffffff,#ffffff,#000000,#fefefe,#255163,#003333,#ffffff
2020_01_SEA_ATL,SEA,2020_SEA_A.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#27445c,#0c2135,#24283b
2020_01_LAC_CIN,LAC,2020_LAC_B.png,#fefefe,#ffffff,#ffffff,#fdc73d,#fcc540,#338cd5,#ffffff,#348cd5
2020_01_ARI_SF,ARI,2020_ARZ_C.PNG,#fefefe,#ffffff,#c9596e,#ae0021,#ae0024,#797979,#ffffff,#ad0024
2020_01_TB_NO,TB,2020_TB_B.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#c41820,#423c37,#000000
2020_01_DAL_LA,DAL,2020_DAL_B.png,#002147,#002046,#002147,#dcdee0,#dbdddf,#fefefe,#b2bfcb,#002046
2020_01_CHI_DET,DET,2020_DET_D.png,#1b66bb,#1b65bb,#1b66bb,#1864bb,#1b66bb,#c0bbb5,#cbd1dc,#0761b0
2020_01_CLE_BAL,BAL,2020_BAL_E.png,#fefefe,#ffffff,#ffffff,#270263,#2a0365,#290364,#000000,#000000
2020_01_GB_MIN,MIN,2020_MIN_C.png,#3c2185,#3b2084,#3c2185,#ffffff,#fefefe,#fefefe,#41228d,#351d77
2020_01_IND_JAX,JAX,2020_JAX_A.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#1e1e1e,#000000,#ffffff
2020_01_LV_CAR,CAR,2020_CAR_A.png,#fefefe,#ffffff,#ffffff,#0087d5,#fefefe,#000000,#b5beca,#0087d4
2020_01_MIA_NE,NE,2020_NE_C.png,#031f4b,#021e4a,#031f4b,#021c49,#031f4b,#fefefe,#b6bec8,#021e4a
2020_01_NYJ_BUF,BUF,2020_BUF_C.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#00328c,#ffffff,#ffffff
2020_01_PHI_WAS,WAS,2020_WFT_F.png,#800000,#800000,#800000,#ffffff,#fefefe,#fefefe,#800000,#800000
2020_01_SEA_ATL,ATL,2020_ATL_N.PNG,#000000,#000000,#000000,#000000,#000000,#fefefe,#242424,#000000
2020_01_LAC_CIN,CIN,2020_CIN_K3.png,#000000,#000000,#000000,#000000,#000000,#fefefe,#fb3012,#000000
2020_01_ARI_SF,SF,2020_SF_C.png,#bb0915,#bb0815,#bb0915,#d2ad7c,#d1ad7d,#fefefe,#bf9e79,#bb0915
2020_01_TB_NO,NO,2020_NO_F2.png,#000000,#000000,#000000,#000000,#000000,#e1cc82,#c7be8c,#000000
2020_01_DAL_LA,LA,2020_LAR_B.png,#eae3dd,#eae4dd,#ebe3dd,#ece5de,#eae3dd,#031cae,#031caf,#021cae
2020_01_PIT_NYG,PIT,2020_PIT_A.png,#fefefe,#ffffff,#ffffff,#fdd736,#fcd638,#fefefe,#000000,#000000
2020_01_TEN_DEN,TEN,2020_TEN_B.png,#fefefe,#ffffff,#ffffff,#09203d,#0c2340,#fefefe,#001328,#0b2240
2020_01_PIT_NYG,NYG,2020_NYG_D.png,#2a367e,#2a367e,#2a367d,#ffffff,#fefefe,#fefefe,#000062,#2a357d
2020_01_TEN_DEN,DEN,2020_DEN_E.png,#03182f,#02172f,#03182f,#02152c,#fefefe,#03182f,#03182e,#02172e
2020_02_CIN_CLE,CIN,2020_CIN_A.png,#fefefe,#ffffff,#fefaf9,#ffffff,#fefefe,#000000,#fb3012,#ffffff
2020_02_CIN_CLE,CLE,2020_CLE_H.png,#3c2c24,#3b2c23,#3c2d24,#e9430c,#e8450f,#fefefe,#e7450f,#3b2c24
2020_02_ATL_DAL,ATL,2020_ATL_N.PNG,#000000,#000000,#000000,#000000,#000000,#fefefe,#242424,#000000
2020_02_BUF_MIA,BUF,2020_BUF_F.png,#00338d,#00328d,#00338d,#ffffff,#fefefe,#fefefe,#ffffff,#00338c
2020_02_CAR_TB,CAR,2020_CAR_Q.png,#0088d4,#0088d4,#0088d4,#0087d5,#fefefe,#fefefe,#b5beca,#0087d4
2020_02_DEN_PIT,DEN,2020_DEN_A.png,#fefefe,#ffffff,#ffffff,#02152c,#fefefe,#fefefe,#03182e,#02172e
2020_02_DET_GB,DET,2020_DET_B.png,#fefefe,#ffffff,#ffffff,#e3e4e8,#e2e2e7,#497da6,#cbd1dc,#0761b0
2020_02_JAX_TEN,JAX,2020_JAX_J.png,#000000,#000000,#000000,#ffffff,#fefefe,#fefefe,#000000,#ffffff
2020_02_LA_PHI,LA,2020_LAR_B.png,#eae3dd,#eae4dd,#ebe3dd,#ece5de,#eae3dd,#031cae,#031caf,#021cae
2020_02_MIN_IND,MIN,2020_MIN_B.png,#fefefe,#ffffff,#ffffff,#391e84,#3c2185,#3c2084,#41228d,#351d77
2020_02_NYG_CHI,NYG,2020_NYG_A.png,#fefefe,#ffffff,#ffffff,#aab3ac,#a9b3ac,#b20000,#000062,#b30000
2020_02_SF_NYJ,SF,2020_SF_C.png,#bb0915,#bb0815,#bb0915,#d2ad7c,#d1ad7d,#fefefe,#bf9e79,#bb0915
