Year,Team,HC,OC,DC,Notes
1999,ARI,TobiVi0,TresMa0,McGiDa0,
2000,ARI,TobiVi0,TresMa0,McGiDa0,HC fired; DC to HC
2001,ARI,McGiDa0,OlsoRi0,MarmLa0,
2002,ARI,McGiDa0,OlsoRi0,MarmLa0,
2003,ARI,McGiDa0,SullJe0,MarmLa0,
2004,ARI,GreeDe0,WoodAl0,PendCl0,
2005,ARI,GreeDe0,RoweKe0,PendCl0,
2006,ARI,GreeDe0,RoweKe0,PendCl0,OC fired
2007,ARI,WhisKe0,HaleTo0,PendCl0,
2008,ARI,WhisKe0,HaleTo0,PendCl0,
2009,ARI,WhisKe0,NA,DaviBi0,No OC
2010,ARI,WhisKe0,NA,DaviBi0,No OC
2011,ARI,WhisKe0,MillMi0,NA,No DC
2012,ARI,WhisKe0,MillMi0,HortRa0,OC double roles
2013,ARI,AriaBr0,GoodHa0,BowlTo0,
2014,ARI,AriaBr0,GoodHa0,BowlTo0,
2015,ARI,AriaBr0,GoodHa0,BettJa0,
2016,ARI,AriaBr0,GoodHa0,BettJa0,
2017,ARI,AriaBr0,GoodHa0,BettJa0,
2018,ARI,WilkSt0,McCoMi1,HolcAl0,OC fired 10/19/18
2019,ARI,KingKl0,NA,JoseVa0,No OC
2020,ARI,KingKl0,NA,JoseVa0,No OC
1999,ATL,ReevDa0,SefcGe0,BrooRi0,
2000,ATL,ReevDa0,SefcGe0,BrooRi0,
2001,ATL,ReevDa0,SefcGe0,BlacDo0,
2002,ATL,ReevDa0,NA,PhilWa0,No OC
2003,ATL,ReevDa0,MangPe0,PhilWa0,
2004,ATL,MoraJi1,KnapGr0,DonaEd0,
2005,ATL,MoraJi1,KnapGr0,DonaEd0,
2006,ATL,MoraJi1,KnapGr0,DonaEd0,
2007,ATL,PetrBo0,JackHu0,ZimmMi0,
2008,ATL,SmitMi0,MulaMi0,VanGBr0,
2009,ATL,SmitMi0,MulaMi0,VanGBr0,
